user_name,score,review_text,review_date,app_version,thumbs_up,churned,app,clean_review,tokens,sentiment,churn_reason
Thái Thành Jr,1,"Game cập nhật như cức, lại phải tải lại tất cả",2025-07-10 14:27:01,1.59.1.5,0,1,Lien Quan Mobile,game cập nhật như cức lại phải tải lại tất cả,game cập_nhật như cức lại phải tải lại tất_cả,Negative,"trash, update"
Giang Bùi,5,Game hay 😊😊😊,2025-07-10 14:26:30,1.58.1.2,0,0,Lien Quan Mobile,game hay 😊😊😊,game hay 😊_😊 😊,Positive,none
Chau Bui,1,ko nói nên lời,2025-07-10 14:25:52,1.58.1.2,0,1,Lien Quan Mobile,ko nói nên lời,ko nói nên lời,Negative,other
Vithi Nhai,5,vuiiu,2025-07-10 14:25:41,1.59.1.5,0,0,Lien Quan Mobile,vuiiu,vuiiu,Positive,none
9. Phan Nguyễn Trường Huy,4,cập nhật xong lag quá,2025-07-10 14:25:07,1.59.1.5,0,0,Lien Quan Mobile,cập nhật xong lag quá,cập_nhật xong lag quá,Positive,"lag, performance, update"
Tuân Nguyễn,1,tôi không hiểu phần tố cáo. kết thúc trận đấu nó kí hiệu là đồng đội afk nhưng tố cáo thì bảo không có dấu hiệu vi phạm. Khó hiểu,2025-07-10 14:24:56,1.59.1.5,1,1,Lien Quan Mobile,tôi không hiểu phần tố cáo kết thúc trận đấu nó kí hiệu là đồng đội afk nhưng tố cáo thì bảo không có dấu hiệu vi phạm khó hiểu,tôi không hiểu phần tố_cáo kết_thúc trận đấu nó kí_hiệu là đồng_đội afk nhưng tố_cáo thì bảo không có dấu_hiệu vi_phạm khó hiểu,Negative,toxic
Tân Duy,4,tuyệt vời,2025-07-10 14:24:34,1.59.1.5,0,0,Lien Quan Mobile,tuyệt vời,tuyệt_vời,Positive,none
Thuc Nguyen,5,hay,2025-07-10 14:23:18,1.58.1.2,0,0,Lien Quan Mobile,hay,hay,Positive,none
bông hồng có gai,1,mỗi lần cập nhật tốn 9G-10G tải tài nguyên....game như llll,2025-07-10 14:23:07,1.59.1.5,0,1,Lien Quan Mobile,mỗi lần cập nhật tốn gg tải tài nguyêngame như llll,mỗi lần cập_nhật tốn gg_tải tài_nguyêngame như llll,Negative,update
Thị Dân Lê,1,"Đang chơi game bt , hôm sau vào ko đc mấy hôm sau cũng thế cố thử thêm 1 tuần cũng ko đc , đoạn vào game đang tài nguyên cứ giữ ở 86% mãi ko vào đc là sao hả game😡😡😡😡",2025-07-10 14:22:11,1.59.1.5,1,1,Lien Quan Mobile,đang chơi game bt hôm sau vào ko đc mấy hôm sau cũng thế cố thử thêm tuần cũng ko đc đoạn vào game đang tài nguyên cứ giữ ở mãi ko vào đc là sao hả game😡😡😡😡,đang chơi game bt hôm sau vào ko đc mấy hôm sau cũng thế_cố thử thêm tuần cũng ko đc đoạn vào game đang tài_nguyên cứ giữ ở mãi ko vào đc là sao hả game 😡 😡_😡 😡,Negative,other
