user_name,score,review_text,review_date,app_version,thumbs_up,churned,app,sentiment,Attribute,Value
Thái Thành Jr,1,"Game cập nhật như cức, lại phải tải lại tất cả",10/07/2025 14:27,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,trash
Thái Thành Jr,1,"Game cập nhật như cức, lại phải tải lại tất cả",10/07/2025 14:27,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.2, update
Giang Bùi,5,Game hay 😊😊😊,10/07/2025 14:26,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Chau Bui,1,ko nói nên lời,10/07/2025 14:25,1.58.1.2,0,1,Lien Quan Mobile,Negative,churn_reason.1,other
Vithi Nhai,5,vuiiu,10/07/2025 14:25,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
9. Phan Nguyễn Trường Huy,4,cập nhật xong lag quá,10/07/2025 14:25,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,lag
9. Phan Nguyễn Trường Huy,4,cập nhật xong lag quá,10/07/2025 14:25,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.2, performance
9. Phan Nguyễn Trường Huy,4,cập nhật xong lag quá,10/07/2025 14:25,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.3, update
Tuân Nguyễn,1,tôi không hiểu phần tố cáo. kết thúc trận đấu nó kí hiệu là đồng đội afk nhưng tố cáo thì bảo không có dấu hiệu vi phạm. Khó hiểu,10/07/2025 14:24,1.59.1.5,1,1,Lien Quan Mobile,Negative,churn_reason.1,toxic
Tân Duy,4,tuyệt vời,10/07/2025 14:24,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Thuc Nguyen,5,hay,10/07/2025 14:23,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
bông hồng có gai,1,mỗi lần cập nhật tốn 9G-10G tải tài nguyên....game như llll,10/07/2025 14:23,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,update
Thị Dân Lê,1,"Đang chơi game bt , hôm sau vào ko đc mấy hôm sau cũng thế cố thử thêm 1 tuần cũng ko đc , đoạn vào game đang tài nguyên cứ giữ ở 86% mãi ko vào đc là sao hả game😡😡😡😡",10/07/2025 14:22,1.59.1.5,1,1,Lien Quan Mobile,Negative,churn_reason.1,other
Thiên Lê,1,lỗi không vô trận xong còn ghép toàn gì đâu không,10/07/2025 14:22,1.59.1.5,4,1,Lien Quan Mobile,Negative,churn_reason.1,bug
Thế Đinh văn,5,quá hay đáng chs,10/07/2025 14:21,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Tân Hoàng,5,hay,10/07/2025 14:20,1.58.1.2,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Cường,4,tôi cũng mới chơi được 1 tháng nhưng trải nghiệm rất thú vị,10/07/2025 14:19,1.59.1.5,0,0,Lien Quan Mobile,Positive,churn_reason.1,none
Lồn Lồn tiếp,1,game l ghép trận toàn vào mấy đứa phá game vs AFK,10/07/2025 14:18,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.1,matchmaking
Lồn Lồn tiếp,1,game l ghép trận toàn vào mấy đứa phá game vs AFK,10/07/2025 14:18,1.59.1.5,0,1,Lien Quan Mobile,Negative,churn_reason.2, toxic
