user_name,score,review_text,review_date,app_version,thumbs_up,churned,app
Thái Thành Jr,1,"Game cập nhật như cức, lại phải tải lại tất cả",2025-07-10 14:27:01,1.59.1.5,0,1,Lien Quan Mobile
Giang Bùi,5,Game hay 😊😊😊,2025-07-10 14:26:30,1.58.1.2,0,0,Lien Quan Mobile
Chau Bui,1,ko nói nên lời,2025-07-10 14:25:52,1.58.1.2,0,1,Lien Quan Mobile
Vithi Nhai,5,vuiiu,2025-07-10 14:25:41,1.59.1.5,0,0,Lien Quan Mobile
9. Phan Nguyễn Trường Huy,4,cập nhật xong lag quá,2025-07-10 14:25:07,1.59.1.5,0,0,Lien Quan Mobile
Tuân Nguyễn,1,tôi không hiểu phần tố cáo. kết thúc trận đấu nó kí hiệu là đồng đội afk nhưng tố cáo thì bảo không có dấu hiệu vi phạm. Khó hiểu,2025-07-10 14:24:56,1.59.1.5,1,1,Lien Quan Mobile
Tân Duy,4,tuyệt vời,2025-07-10 14:24:34,1.59.1.5,0,0,Lien Quan Mobile
Thuc Nguyen,5,hay,2025-07-10 14:23:18,1.58.1.2,0,0,Lien Quan Mobile
bông hồng có gai,1,mỗi lần cập nhật tốn 9G-10G tải tài nguyên....game như llll,2025-07-10 14:23:07,1.59.1.5,0,1,Lien Quan Mobile
Thị Dân Lê,1,"Đang chơi game bt , hôm sau vào ko đc mấy hôm sau cũng thế cố thử thêm 1 tuần cũng ko đc , đoạn vào game đang tài nguyên cứ giữ ở 86% mãi ko vào đc là sao hả game😡😡😡😡",2025-07-10 14:22:11,1.59.1.5,1,1,Lien Quan Mobile
Thiên Lê,1,lỗi không vô trận xong còn ghép toàn gì đâu không,2025-07-10 14:22:08,1.59.1.5,4,1,Lien Quan Mobile
Thế Đinh văn,5,quá hay đáng chs,2025-07-10 14:21:20,1.59.1.5,0,0,Lien Quan Mobile
Tân Hoàng,5,hay,2025-07-10 14:20:45,1.58.1.2,0,0,Lien Quan Mobile
Cường,4,tôi cũng mới chơi được 1 tháng nhưng trải nghiệm rất thú vị,2025-07-10 14:19:26,1.59.1.5,0,0,Lien Quan Mobile
Lồn Lồn tiếp,1,game l ghép trận toàn vào mấy đứa phá game vs AFK,2025-07-10 14:18:12,1.59.1.5,0,1,Lien Quan Mobile
Thu Lại,5,game hay,2025-07-10 14:18:07,1.59.1.5,0,0,Lien Quan Mobile
Văn thắng Trừ,1,cập nhật xong lag ko vào combat lag ko thể tả,2025-07-10 14:17:50,1.59.1.5,0,1,Lien Quan Mobile
UyenNhi Tran,1,"bậc skin mới xấu quá, từ 3s premium còn 3shh ko đẹp nổi up nhìu cái chán ko muốn nói",2025-07-10 14:17:02,1.59.1.5,0,1,Lien Quan Mobile
Nhy Lam,1,Cập nhập xong 120fps chơi như 30fps :)),2025-07-10 14:15:04,1.59.1.5,0,1,Lien Quan Mobile
anhthu luu,1,ủa sao cho vô trận ảo hoài vậy ???,2025-07-10 14:13:57,1.58.1.2,0,1,Lien Quan Mobile
Bạch tiểu,1,gà như cc cập nhật lm,2025-07-10 14:13:19,1.59.1.5,0,1,Lien Quan Mobile
Tường Nguyễn,1,Vì game này mà tôi dấn vào đỏ đen :(),2025-07-10 14:12:27,1.59.1.5,0,1,Lien Quan Mobile
Khoi,1,tệ,2025-07-10 14:09:41,1.59.1.5,0,1,Lien Quan Mobile
Phúc An,1,toàn gặp phá game rank đầu mùa nhu l,2025-07-10 14:08:34,1.59.1.5,0,1,Lien Quan Mobile
Nguuen Thi Phuong Diem,5,bỏ game giờ chơi lạ vẫn thấy vui,2025-07-10 14:08:29,1.58.1.2,0,0,Lien Quan Mobile
MayHaBuoi Tran,2,mong game chỉnh lại phần chỉnh lane mấy mùa trước chơi thấy bình thường bây giờ chọn lane nào bắt chọn tướng lane đó😞 ko đc đi lane khác à sửa lại mau lên chứ chơi là thấy khó chịu rồi đg vui định đánh giá năm sao mà cập nhật xong giờ đổi ý rồi😤😩,2025-07-10 14:07:57,1.59.1.5,0,1,Lien Quan Mobile
Liên Phạm,5,quá hay,2025-07-10 14:07:34,1.58.1.2,0,0,Lien Quan Mobile
Việt Thắng,1,ko vào game được,2025-07-10 14:07:33,1.59.1.5,0,1,Lien Quan Mobile
Tu Do,1,vào 1v1 là đủ,2025-07-10 14:07:18,1.59.1.5,0,1,Lien Quan Mobile
Solun Kpa,5,Game OK,2025-07-10 14:06:56,1.58.1.2,0,0,Lien Quan Mobile
Trà Mi Nguyễn Thị,1,game như cục pịa tải game còn lâu hiệu ứng còn lag trẻ em chơi còn hại não,2025-07-10 14:06:22,1.59.1.5,0,1,Lien Quan Mobile
Kiệt,1,cập nhật xong lỗi nạp qh k thấy quân huy đâu hết,2025-07-10 14:04:33,1.59.1.5,0,1,Lien Quan Mobile
Trảm Phong,1,như qq,2025-07-10 14:03:50,1.59.1.5,0,1,Lien Quan Mobile
Truong Luu,1,ko thấy được chiêu của tướng thì quánh bằng niềm tin,2025-07-10 14:03:23,1.59.1.5,0,1,Lien Quan Mobile
Ly Ly,5,lagg nhưng kệ,2025-07-10 14:02:30,1.58.1.2,0,0,Lien Quan Mobile
Hoan Nguyễn,1,đang mượt cập nhật xong lag ko chơi nổi chán ko muốn chơi,2025-07-10 14:01:37,1.59.1.5,0,1,Lien Quan Mobile
Khiem Vi,1,game loz,2025-07-10 14:00:42,1.58.1.2,0,1,Lien Quan Mobile
Ngọc Hạ Thương Nguyễn,4,cập nhập ms tệ quá lm tuộc hạng r,2025-07-10 14:00:15,1.59.1.5,0,0,Lien Quan Mobile
Tâm Manh,1,cứ mỗi lần cập nhật lại phải mất hết lưu lượng tải song hết bà lưu lượng còn ko đủ tải,2025-07-10 13:59:07,1.59.1.5,0,1,Lien Quan Mobile
An Thuy,4,sao chơi với máy sao vẫn ko hồi uy tín,2025-07-10 13:58:56,1.59.1.5,0,0,Lien Quan Mobile
Son Truong,5,chơi game vui vẻ,2025-07-10 13:58:31,1.58.1.2,0,0,Lien Quan Mobile
Thion Ngo,5,game chơi rất vui,2025-07-10 13:56:41,1.58.1.2,0,0,Lien Quan Mobile
Linh Hoài,5,hay,2025-07-10 13:56:18,1.59.1.5,0,0,Lien Quan Mobile
Thieu Truong Van,5,vì nó rất hay là tôi mất bao nhiêu con acc,2025-07-10 13:56:05,1.58.1.2,0,0,Lien Quan Mobile
Xuân Sỹ Vũ,4,game chơi hay nhưng hơn tốn đùng lg,2025-07-10 13:54:07,1.59.1.5,0,0,Lien Quan Mobile
Tran Binh,5,trò chơi này rất thú vị,2025-07-10 13:53:55,1.58.1.2,0,0,Lien Quan Mobile
Khánh Hà Nguyen Huynh,5,wow,2025-07-10 13:52:57,1.59.1.5,0,0,Lien Quan Mobile
vux hoang,1,"là sao nữa z game, ko vô đc sảnh luôn cứ đứng ở86%",2025-07-10 13:52:26,1.59.1.5,0,1,Lien Quan Mobile
Cg Thịnh,1,khựng như con chó,2025-07-10 13:52:19,1.59.1.5,0,1,Lien Quan Mobile
cuong tran,1,dell lm j mà ah gà bảo t phá geam mà t chs cs đc tầm 2 kill mà ah gà bảo tao phá geam ủa alo,2025-07-10 13:50:28,1.59.1.5,0,1,Lien Quan Mobile
Bao Bui,1,"game cập nhật xong ấn vào tướng nào cũng tải mô hình nói thật tôi thấy mô hình nhìn còn sấu hơn cả poster nữa với lại tải mô hình cũng chiếm khá nhiều dung lượng, máy yếu như tôi thường bị giật lag rồi còn tải thêm mô hình làm tôi rất khó chịu",2025-07-10 13:49:49,1.59.1.5,0,1,Lien Quan Mobile
Vy Nguyễn,4,"mong nhà sản xuất cho tự chọn tướng như đầu có rất nhiều thành phần phá game , báo cáo ko đc phá game quá nh",2025-07-10 13:49:35,1.59.1.5,0,0,Lien Quan Mobile
Bay Vo,5,5 sao nhưng hơi lag,2025-07-10 13:46:53,1.58.1.2,0,0,Lien Quan Mobile
Tâm Lê,5,Giảm stresss,2025-07-10 13:46:48,1.59.1.5,0,0,Lien Quan Mobile
Vyy NguyenNgocThaoVy,1,"cập nhật xong tưởng hay lắm ai người tố dolia lên full chí mạng chả trừ được 1 uy tín nào như l,vừa nặng máy vừa đi lùi v cập nhật làm me gì v gem",2025-07-10 13:46:46,1.59.1.5,0,1,Lien Quan Mobile
To Dieu,5,tuyệt vời,2025-07-10 13:45:58,1.58.1.2,0,0,Lien Quan Mobile
Thiên Kim Huỳnh,1,tướng ms ko đcc,2025-07-10 13:45:51,1.59.1.5,0,1,Lien Quan Mobile
Tuấn Minh,1,rất lag,2025-07-10 13:45:21,1.59.1.5,0,1,Lien Quan Mobile
Thu Phuc,4,hay mà lag,2025-07-10 13:44:13,1.58.1.2,0,0,Lien Quan Mobile
Quốc Thúy Nguyễn,1,cập nhật lag như quỉ game nát vl,2025-07-10 13:42:03,1.59.1.5,0,1,Lien Quan Mobile
nitzu Zen,1,game lol gì mà cập nhật xong fps 60 lag như chó,2025-07-10 13:42:02,1.59.1.5,0,1,Lien Quan Mobile
Gaming Thanh,4,game cập nhật xong lag quá,2025-07-10 13:41:38,1.59.1.5,0,0,Lien Quan Mobile
Tín Lê,5,vui,2025-07-10 13:38:25,1.59.1.5,0,0,Lien Quan Mobile
Dang Bui,1,"cân nhiêu mang qua game thì choi kiêu gì! không giông ban mình hay choi ,lag choi khong đuoc lai con bi cam choi toi nam 2028",2025-07-10 13:36:58,1.59.1.5,0,1,Lien Quan Mobile
Bao Le,1,games tải xong 10GB nhà phát hành như cccc,2025-07-10 13:34:35,1.59.1.5,0,1,Lien Quan Mobile
Bris K,5,chơi cực kỳ vui nhưng cho hơi ít quân huy mong anh cho nhiều hơn cảm ơn,2025-07-10 13:33:45,1.59.1.5,0,0,Lien Quan Mobile
Vuong Mr,1,Game như lol. một tựa game mang tính thể thao toàn cầu mà cứ hết mùa thì cặp nhập từ đầu chẳn khác gì game mới tải lần đầu tôi không làm gì được nhà game.nhưng tôi rất không thích và khó chịu,2025-07-10 13:33:41,1.58.1.2,0,1,Lien Quan Mobile
thảo nguyễn minh,5,chơi hay nha,2025-07-10 13:33:33,1.58.1.2,0,0,Lien Quan Mobile
Luyến Võ,1,quá lắc càng cập nhật thì càng lắc chơi cứ bị bay ra,2025-07-10 13:33:00,1.59.1.5,0,1,Lien Quan Mobile
Minh Nhật Trần,1,"Cơ chế mới của game làm kiểu gì vậy? Mình đi rừng bị thằng sp pick con khác tranh r còn trừ uy tín nữa?? Đổi lại cơ chế cũ dùm đi, game nát lắm r",2025-07-10 13:32:39,1.59.1.5,0,1,Lien Quan Mobile
Vanh thợ xây,1,game cc gì tải 9G,2025-07-10 13:32:36,1.59.1.5,0,1,Lien Quan Mobile
K Le,5,trò chơi này rất là vui tôi nên đánh giá 5sao,2025-07-10 13:29:58,1.59.1.5,0,0,Lien Quan Mobile
Chien Le,1,ghép toàn sv,2025-07-10 13:28:56,1.59.1.5,0,1,Lien Quan Mobile
Bao Phuc,1,đánh mãi mà không lên ủy tín,2025-07-10 13:28:37,1.59.1.5,0,1,Lien Quan Mobile
Nghiệp Nguyễn,1,game quá lag tải tài nguyên lâu h lên tận 9gb khải năng tôi xẽ bỏ gaem liên quân chuyển qua lerngd mobile vì quá lag😩😢,2025-07-10 13:27:11,1.59.1.5,4,1,Lien Quan Mobile
Nhan Thanh,5,game hây,2025-07-10 13:25:31,1.59.1.5,0,0,Lien Quan Mobile
hoang huy Nguyen,5,hay,2025-07-10 13:24:03,1.58.1.2,0,0,Lien Quan Mobile
Vỹ Nguyễn,1,mỗi lần cập nhật là lag k vào đc game??,2025-07-10 13:23:02,1.59.1.5,0,1,Lien Quan Mobile
Thuận Quach,1,game cập nhật xg như l luôn có lúc chọn đc có 1 đường k có tướng khác cho chọn luôn rồi thì vô cùng éo đc giựt giựt,2025-07-10 13:20:33,1.59.1.5,0,1,Lien Quan Mobile
Hoà Trần,5,game siêu hay,2025-07-10 13:20:08,1.58.1.2,0,0,Lien Quan Mobile
Manh Nguyen,5,Hayyyy,2025-07-10 13:19:52,1.59.1.5,0,0,Lien Quan Mobile
Thuận Võ Trần Minh,1,ghép trận chẳng thấy công bằng một síu nào,2025-07-10 13:19:32,1.59.1.5,0,1,Lien Quan Mobile
Thủy Tiên Nguyễn Ngọc,5,cũng dc nhưng thấy cap Nhật hơi kì,2025-07-10 13:18:31,1.59.1.5,0,0,Lien Quan Mobile
Hà Đặng,3,gqme nhiều lỗi quá sửa lại đi,2025-07-10 13:18:03,1.59.1.5,0,0,Lien Quan Mobile
Hường Trần,5,top flo,2025-07-10 13:18:01,1.58.1.2,0,0,Lien Quan Mobile
Huy Nguyen,5,Game chs hay giải trí có đều ghép đội chx đúng cho lắm,2025-07-10 13:17:26,1.59.1.5,0,0,Lien Quan Mobile
Diep Nguyen,5,tốt,2025-07-10 13:17:18,1.59.1.5,0,0,Lien Quan Mobile
Tam Nguyen,5,tốt,2025-07-10 13:16:53,1.58.1.2,0,0,Lien Quan Mobile
Quyết Hoàng,1,điềm uy tín cày ko được cày mại ko lên,2025-07-10 13:16:49,1.59.1.5,0,1,Lien Quan Mobile
Hải Long Nguyễn,1,game vô ko đc dù đã tải tài nguyên mạng cũng đủ để sd như bth hiện tại vẫn vậy hôm qua chơi vẫn ổn hôm nay lại báo ko vô đc cả 4 cái acc dù đã thử xóa đi tải lại vẫn ko đc. mong nhà sản xuất chỉnh sửa lại.ok,2025-07-10 13:15:56,1.59.1.5,0,1,Lien Quan Mobile
nham nguyen,4,game hay vcll nên chơi thử,2025-07-10 13:15:30,1.58.1.2,0,0,Lien Quan Mobile
Phương Anh Nguyễn,1,"game bắt tải lắm tài nguyên,nặng ơi là nặng,chơi game thì gặp lũ sv phá game",2025-07-10 13:15:18,1.59.1.5,0,1,Lien Quan Mobile
Quyến Quàng,5,Garena nhất là hay,2025-07-10 13:13:53,1.59.1.5,0,0,Lien Quan Mobile
Thế tường Võ,1,ghép thật sự rất lệch rank chịu garena sửa giùm đi trời,2025-07-10 13:13:02,1.59.1.5,0,1,Lien Quan Mobile
Lai Nguyễn Đức,5,"tôi thấy game này hay và nhiều sự kiện, trong đó tôi có thể giao lưu nhiều người hơn, chỉ có điều tôi quá gà 🤣🤣",2025-07-10 13:12:54,1.59.1.5,0,0,Lien Quan Mobile
Trung Lê Quang,5,geam OK hay đồ hoạ đẹp,2025-07-10 13:12:29,1.59.1.5,0,0,Lien Quan Mobile
Galaxy A03,5,tê,2025-07-10 13:12:19,1.58.1.2,0,0,Lien Quan Mobile
Sat A,5,hayyy,2025-07-10 13:11:57,1.58.1.2,0,0,Lien Quan Mobile
Lan Tran,5,Chơi vui,2025-07-10 13:11:05,1.59.1.5,0,0,Lien Quan Mobile
May Nguyen,1,"cập nhật xong nó lag thôi rồi, vào game thì mãi mới vào được, vào được thì wifi nó rớt không phanh, không làm được gì hết... cập nhật không biết để tốt hơn hay hành người hơn nữa",2025-07-10 13:10:46,1.59.1.5,5,1,Lien Quan Mobile
Dang Xuan,5,Hay,2025-07-10 13:09:54,1.58.1.2,0,0,Lien Quan Mobile
Duong Thuy,1,"Cg hay nhưng chs toàn gặp thoát , ngu , ks . chả hiểu sao Garena ngu . như cứk",2025-07-10 13:09:25,1.59.1.5,1,1,Lien Quan Mobile
Huy Bùi,5,"chơi vui,có thể giải trí",2025-07-10 13:08:53,1.58.1.2,0,0,Lien Quan Mobile
Phát Bùi Xuân,1,Update xg lỗi ko vào đc trận mất mẹ 7ut fix nhanh cmm lên,2025-07-10 13:08:08,1.59.1.5,0,1,Lien Quan Mobile
Sơn Nguyễn,5,game chs hay nhưng phải tải,2025-07-10 13:08:04,1.58.1.2,0,0,Lien Quan Mobile
Canhphung To,1,games gì suốt ngày cập nhật vs cập nhật,2025-07-10 13:07:04,1.58.1.2,0,1,Lien Quan Mobile
The hung Luu,5,ok,2025-07-10 13:05:40,1.59.1.5,0,0,Lien Quan Mobile
Dung Nguyễn,2,"đg chs lq thì trận game đơ,đã thế còn ko thấy j",2025-07-10 13:04:30,1.59.1.5,0,1,Lien Quan Mobile
Chiến Trần,5,cho hỏi mấy bn đánh giá xấu về vc cập nhật mấy bn đã hiểu vấn đề rằng mổi khi cập nhật phải lập code game nào chả như game nào mà chê cập nhật tốn Gb còn mấy bn vào game ko đc thì xem lại đt mấy bn báo lổi là do đt yếu hoặc dùng apk hay có can thiệp vào điện thoại chứ game trăm triệu người chơi ko ý kiến mấy bn cứ đổ lổi,2025-07-10 13:04:24,1.59.1.5,0,0,Lien Quan Mobile
Truc Phan,2,cập nhật xg vô chơi game chỉ bt chán nản lag k di chuyển dc ln mặc dù mạng rất bth trong game wifi đỏ chót k di chuyển dc k chơi dc j hết ln chịu nhà phát hành đấy!,2025-07-10 13:01:30,1.59.1.5,0,1,Lien Quan Mobile
Vu Linh,5,dễ chơi 🥰🥰🥰🥰🥰rất hay 🥰🥰🥰🥰💯 điểm,2025-07-10 13:01:22,1.59.1.5,0,0,Lien Quan Mobile
Chép chép,1,vc game bị j vậy sao ko cho vào trận đấu làm ng ta bị trừ điểm uy tín có rớt mạng mô tr,2025-07-10 13:00:00,1.59.1.5,0,1,Lien Quan Mobile
Hồng Dẹn Ngô,1,"Game lỗi, giật lag mất âm thanh tướng khiến trải nghiệm game khó chịu vô cùng😡",2025-07-10 12:57:22,1.59.1.5,0,1,Lien Quan Mobile
Minh Bùi Hải,1,cần xác minh đúng 18 tuổi mới được chơi toàn trẻ con chơi phá game,2025-07-10 12:57:21,1.58.1.2,0,1,Lien Quan Mobile
Công Đinh,1,khuyên mọi người không nên chơi mà hãy sang vgvd chơi mà khác ngay hay game m cũng được,2025-07-10 12:57:03,1.59.1.5,3,1,Lien Quan Mobile
